#{"t_start": 1667463817.913974, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-112.042098,61,0.854997
-101.212725,75,1.958994
-158.199897,551,7.974995
-105.874563,79,8.821998
-169.706317,924,18.858995
-119.38982,142,20.386995
-108.107325,60,21.013996
-98.654083,133,22.456995
-177.285778,1410,37.490995
-114.051606,54,38.061995
-119.607372,136,39.578995
-117.188502,54,40.144995
-154.09558,1138,52.695995
-106.335622,50,53.279995
-107.438253,63,53.957996
-127.335054,117,55.215995
-107.099497,66,55.993997
-123.476187,162,57.764995
-105.544968,85,58.703995
-103.727743,73,59.539994
-112.178019,79,60.438996
-105.283288,64,61.159996
-126.700763,111,62.417995
-106.182427,287,65.608995
-101.999787,83,66.536995
-96.148382,131,68.079996
-115.513795,146,69.718997
-99.513777,56,70.367995
-190.196641,1629,88.045995
-102.068296,119,89.252995
-99.734363,122,90.468996
-97.849609,83,91.303995
-144.143014,460,95.908995
-116.63266,69,96.590995
-104.034539,99,97.588995
-86.333015,120,98.776995
-119.066647,94,99.727995
-97.83726,128,100.991995
-121.57951,98,101.972995
-144.002122,518,107.146996
-91.620188,121,108.008995
-125.844007,98,108.102995
-118.633783,72,108.173995
-62.130098,2000,110.482032
-51.061236,2000,112.999031
-112.921541,91,114.159997
-129.236309,109,115.297995
-204.431726,1887,135.058995
-106.587551,188,137.056995
-97.037401,104,138.054995
-115.314772,2000,157.633995
